"codigo","cartorio","serventia","municipio_id","cartorio_censo_id"
52,"REG. CIVIL C/ FUNC NOTARIAIS - PIRIPA","134726",2924702,52
53,"REGISTROS CIVIL E PESSOAS NATURAIS","013433",2925204,53
54,"REGISTRO CIVIL DE PESSOAS NATURAIS","136804",2925303,54
55,"REG. CIVIL C/ FUNC NOTARIAIS - GURUPA-MIRIM","132282",2925402,55
56,"PRESIDENTE DUTRA - REGISTRO CIVIL","011593",2925600,56
57,"RCNP","011635",2925931,57
58,"CARTÓRIO REGISTRO CIVIL DE PESSOAS NATURAIS","010934",2926004,58
59,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012245",2926202,59
60,"CARTÓRIO REGISTRO CIVIL COM FUNCOES NOTARIAIS","010785",2926202,60
61,"CARTÓRIO DO REGISTRO CIVIL COM FUNCOES NOTARIAIS","008847",2926400,61
62,"REG. CIVIL DAS PESSOAS NATURAIS","136531",2926608,62
63,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009472",2926707,63
64,"CARTÓRIO DO REGISTRO CIVIL COM F NOTARIAIS","008706",2926806,64
65,"REG. CIVIL C/ FUNC NOTARIAIS - JANDAIRA","132472",2927002,65
66,"CARTÓRIO DE REGISTRO CIVIL","005934",2927101,66
67,"REG. CIVIL C/ FUNC. NOTARIAIS - MORRO DAS FLORES","137307",2927200,67
68,"REGISTRO CIVIL DE PESSOAS NATURAIS","012799",2927200,68
69,"REG. CIVIL C/ FUNCAO NOTARIAIS - CARRAPICHEL","136549",2930105,69
70,"CARTÓRIO DE REGISTRO CIVIL C/F NOTARIAS DO DISTRITO DE ANDORINHA - COMARCA DE SENHOR DO BONFIM - BAHIA","144477",2901353,70
71,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DO DISTRITO DE MINAS DE MIMOSO","009787",2930204,71
72,"REGISTRO CIVIL","011700",2930204,72
73,"CARTÓRIO DO REGISTRO CIVIL  DAS PESSOAS NATURAIS DE SERRA PRETA","009902",2930402,73
74,"REGISTRO CIVIL DA PESSOAS NATURAIS","012138",2930600,74
75,"CARTÓRIO DE REGISTRO CIVIL COM FUNCOES DE NOTAS DE TABOCAS DO BREJO VELHO","006031",2930907,75
76,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012211",2931053,76
77,"JACOBINA - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE UMBURANAS","144352",2932457,77
78,"CARTÓRIO DO REGISTRO CIVIL COM FUNCOES NOTARIAIS DO DISTRITO DE DELFINO","008987",2932457,78
79,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009092",2932606,79
80,"CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS","006973",2933000,80
81,"CARTÓRIO CALIXTO 1° OFICIO","016360",2300101,81
82,"CARTÓRIO DE NOTAS E REG PUBLICOS DE ACARAPE","016535",2300150,82
83,"CARTÓRIO DO OFICIO UNICO","018051",2301257,83
84,"CARTÓRIO BEZERRA - PRIMEIRO OFICIO DE CRATEUS","020255",2304103,84
85,"CARTÓRIO MAGALHAES BRAGA","019612",2306108,85
86,"CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE CRUZ","137901",2306306,86
87,"CARTÓRIO OFICIAL DO REGISTRO CIVIL DE PALMATORIA","019786",2306504,87
88,"CARTÓRIO DE REGISTRO CIVIL DE ITANS","016931",2306504,88
89,"CARTÓRIO OLIVEIRA REGISTRO CIVIL","019828",2306504,89
90,"REGISTRO CIVIL DO DISTRITO DE LAGOA DO MATO, ITATIRA-CE","020826",2306603,90
91,"1º OFICIO DE REGISTRO CIVIL","136994",2306603,91
92,"REGISTRO CIVIL E NOTAS DE BARRA DE SANTO ANTONIO","003533",2700508,92
93,"CARTÓRIO DE REGISTRO CIVIL DE COLONIA LEOPOLDINA","002253",2702108,93
94,"CARTÓRIO DO REGISTRO CIVIL","002626",2702801,94
95,"CARTÓRIO DO REGISTRO CIVIL DE GIRAU DO PONCIANO","002758",2702900,95
96,"CARTÓRIO DO REGISTRO CIVIL DO DISTRITO DE CANAFISTULA DO CIPRIANO","002865",2702900,96
97,"CARTÓRIO DO UNICO OFICIO DE JAPARATINGA","003228",2703601,97
98,"REGISTRO CIVIL E NOTAS","144550",2703759,98
99,"CARTÓRIO DO REGISTRO CIVIL E NOTAS DE JUNDIA","002642",2703908,99
100,"REGISTRO CIVIL DE PESSOAS NATURAIS DE JUNQUEIRO","003558",2704005,100
101,"CARTÓRIO DO REGISTRO CIVIL E NOTAS 2º DISTRITO","002949",2704302,101
102,"SEXTO OFICIO DE REGISTRO CIVIL E NOTAS DE MACEIO - AL","004028",2704302,102
103,"CARTÓRIO DO REGISTRO CIVIL E NOTAS","002907",2704401,103
104,"CARTÓRIO DE REGSITRO CIVIL","002444",2704401,104
105,"CARTÓRIO DE REGISTRO CIVIL","002154",2704401,105
106,"CARTÓRIO DO REGISTRO CIVIL DE PESSOAS NATURAIS DE MAR VERMELHO","002824",2704906,106
107,"REGISTRO CIVIL DA COMARCA DE MARAGOGI","003475",2704500,107
108,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","002691",2704609,108
109,"CARTÓRIO DO REGISTRO CIVIL DE MARIBONDO","002790",2704807,109
110,"REGISTRO CIVIL E NOTAS DA COMARCA DE MATA GRANDE","003186",2705002,110
111,"CARTÓRIO DO REGISTRO CIVIL E NOTAS DAS PESSOAS NATURAIS","002956",2705101,111
112,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","002162",2705200,112
113,"CARTÓRIO DO REGISTRO CIVIL DE MINADOR DO NEGRAO","002808",2705309,113
114,"CARTÓRIO DO REGISTRO CIVIL","002568",2705408,114
115,"CARTÓRIO DO REGISTRO CIVL E NOTAS","003020",2705606,115
116,"SERVIÇOS DE REGISTRO CIVIL DAS PESSOAS NATURAIS","003988",2705804,116
117,"REGISTRO CIVIL DE PESSOAS NATURAIS DE OLHO DAGUA GRANDE","003566",2705903,117
118,"CARTÓRIO DE REGISTRO CIVIL","002147",2706000,118
119,"SERVIÇO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DO MUNICIPIO DE OURO BRANCO","003715",2706109,119
120,"SERVIÇO DE REGISTRO CIVIL E NOTAS DE PALESTINA","003749",2706208,120
121,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS DE CALDEIROES DE CIMA","002246",2706307,121
122,"CARTÓRIO REGISTRO CIVIL","003319",2706406,122
123,"REGISTRO CIVIL","003467",2706422,123
124,"CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS","002287",2706448,124
125,"SERVIÇO DO REGISTRO CIVIL E NOTAS DE PASSO DE CAMARAGIBE","003756",2706505,125
126,"SERVIÇO DO REGISTRO CIVIL E NOTAS DE PAULO JACINTO/AL","003764",2706604,126
127,"CARTÓRIO DE REGISTRO CIVIL DA COMARCA DE PENEDO","002188",2706703,127
128,"CARTÓRIO DO REGISTRO CIVIL E NOTAS DE PIACABUCU","002022",2706802,128
129,"CARTÓRIO DO REGISTRO CIVIL","002576",2707206,129
130,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS E NOTAS","002220",2707206,130
131,"REGISTRO CIVIL DAS PESSOAS NATURAIS DE RIO LARGO","003525",2707701,131
132,"CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS E NOTAS DE VICOSA","002295",2709400,132
133,"CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE ANORI","004630",1300102,133
134,"CARTÓRIO DISTRITAL DE PARACUUBA","148916",1300300,134
135,"CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE AUTAZES","004648",1300300,135
136,"CARTÓRIO EXTRAJUDICIAL DE BOA VISTA DOS RAMOS","130856",1300680,136
137,"CARTÓRIO JUDICIAL E ANEXOS","004960",1300706,137
138,"CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE BORBA","004655",1300805,138
139,"CARTÓRIO DISTRITAL DO REGISTRO CIVIL DE AXINI","149179",1300805,139
140,"CARTÓRIO EXTRAJUDICIAL DA COMARCA DE CARAUARI/AM","004671",1301001,140
141,"CARTÓRIO DISTRITAL DO REGISTRO CIVIL DE PARANA DO CAMBIXE","148403",1301159,141
142,"CARTÓRIO DISTRITAL DE REGISTRO CIVIL DE MURUMURUTUBA","148809",1301159,142
143,"CARTÓRIO 1º OFICIO","004234",1301209,143
144,"CARTÓRIO FERNANDES","004952",1301407,144
145,"CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE ENVIRA","142414",1301506,145
146,"CARTÓRIO DO JUDICIAL E ANEXO DE FONTE BOA","130849",1301605,146
147,"CARTÓRIO DO PRIMEIRO OFICIO DO JUDICIAL E ANEXOS","004895",1301704,147
148,"CARTÓRIO DO JUDICIAL E ANEXOS COMARCA DE IPIXUNA","004572",1301803,148
149,"CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DA 3ª VARA DE ITACOATIRA","142422",1301902,149
150,"CARTÓRIO DO JUDICIAL E ANEXOS DA COMARCA DE ITAPIRANGA","004713",1302009,150
151,"CARTÓRIO DA 1ª VARA DE MANACAPURU-AM","004259",1302504,151
152,"CARTÓRIO DO REGISTRO DO DISTRITO DE COITE","019190",2308104,152
153,"CARTÓRIO DO REGISTRO CIVIL","018259",2308302,153
154,"OFICIO DE NOTAS E DE REGISTROS","020552",2308377,154
155,"CART0RIO DO REGISTRO CIVIL DO DISTRITO DE JAMACARU","015883",2308401,155
156,"CARTÓRIO DO PRIMEIRO  OFICIO DE MISSAO VELHA","018069",2308401,156
157,"CARTÓRIO DO 1º OFICIO DA COMARCA DE MONSENHOR TABOSA CEARA (CARTÓRIO LEITAO)","017400",2308609,157
158,"CARTÓRIO DE REGISTRO CIVIL DO DISTRITO DE PEDRAS","017103",2308708,158
159,"CARTÓRIO MOURA SILVA","019695",2308708,159
160,"CARTÓRIO DO REGISTRO CIVIL DO DISTRITO DE UIRAPONGA","019109",2308708,160
161,"CARTÓRIO DO DISTRITO DE ARUARU","017970",2308708,161
162,"CARTÓRIO REGISTRO CIVIL DE JUAZEIRO","020008",2308708,162
163,"CARTÓRIO DE REGISTRO CIVIL DO DISTRITO DE BOA AGUA","017020",2308708,163
164,"CARTÓRIO HONORATO 1º OFICIO","019430",2308708,164
165,"CARTÓRIO NEVES MARANGUAPE","019752",2308807,165
166,"OFICIO DE NOTAS E REGISTROS","020602",2308906,166
167,"1º OFICIO CARTÓRIO MAGALHAES","015560",2309003,167
168,"CARTÓRIO 1º OFICIO REG. CIVIL","015974",2309102,168
169,"CAROTORIO DE REGISTRO CIVIL DE NOVA BETANIA","020271",2309300,169
170,"REGISTRO CIVIL DE MAJOR SIMPLICIO","020784",2309300,170
171,"1º OFICIO CARTÓRIO DE NOTAS","015552",2309508,171
172,"CARTÓRIO DE 1º OFICIO DE PACAJUS/CE","016485",2309607,172
173,"CARTÓRIO DO REGISTRO CIVIL","018242",2309607,173
174,"CARTÓRIO ALENCAR FURTADO","016139",2309706,174
175,"CARTÓRIO DE PAVUNA","016758",2309706,175
176,"CARTÓRIO DE NOTAS E DE REGISTROS DA COMARCA DE PACOTI","016527",2309805,176
177,"OFICIO DE NOTAS E DE REGISTROS PUBLICOS","020594",2309904,177
178,"CARTÓRIO DE 1º  OFICIO FOI  ANEXADO AO CARTÓRIO DE OFICIO DE NOTAS  E REGISTROS (13.706-7)EM 1997,LEI  12776","016451",2310001,178
179,"CARTÓRIO DO REG. CIVIL DO 1° OFICIO","018184",2310100,179
180,"CARTÓRIO DO REGISTRO CIVIL","008557",2913705,180
181,"IPIAU - CARTÓRIO DE REGISTRO CIVIL - SEDE","144295",2913903,181
182,"CARTÓRIO DE REGISTRO DAS PESSOAS NATURAIS DE IPIRA","007336",2914000,182
183,"IRARA/DIST.OURICANGAS-REG CIVIL C/FUN NOTARIAIS","011254",2914505,183
184,"REGISTRO CIVIL C/ FUNCOES NOTORIAS","011775",2916906,184
185,"REGISTRO CIVIL COM FUNCOES NOTARIAS - ITATI","140194",2917102,185
186,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DA COMARCA DE ITUBERA - BAHIA","009720",2917300,186
187,"REGISTRO CIVIL COM FUNCOES NOTARIAIS","011940",2917409,187
188,"REGISTRO CIVIL COM FUNCOES NOTARIAIS VILA DO PAIOL","012062",2917409,188
189,"REGISTRO CIVIL DAS PESSOAS NATURAIS E DE INTERDICOES E TUTELAS","012484",2917409,189
190,"REG. CIVIL C/ FUNCOES NOTARIAIS - VARZEA NOVA","133637",2917508,190
191,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DO REGISTRO CIVIL DO 1º OFICIO","009969",2917508,191
192,"JACOBINA - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE CAATINGA DO MOURA","144337",2917508,192
193,"JACOBINA/DISTRITO DE MIRANGABA - REGISTRO CIVIL COM FUNCOES NOTARIAIS","011346",2917508,193
194,"CARTÓRIO REGISTRO CIVIL E DAS PESSOAS NATURAIS DO 2 OFICIO","010942",2917508,194
195,"TABELIONATO DE NOTAS DO Lº OFICIO","014951",2917508,195
196,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009142",2917607,196
197,"CARTÓRIO DO REGISTRO CIVIL- DISTRITO DE IPIUNA","010009",2917607,197
198,"REG. CIVIL C/ FUNC NOTARIAIS - STELA DUBOIS","135210",2917607,198
199,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","012369",2917706,199
200,"REGISTRO CIVIL COM FUNCOES NOTARIAIS","011882",2917706,200
201,"CARTÓRIO REGISTRO CIVIL C/ FUNCOES NOTARIAIS","010959",2917805,201
202,"REGISTRO CIVIL COM FUNCOES NOTARIAIS DO DISTRITO DE PIRAJUIA DA COMARCA DE JAGUARIPE - BAHIA","012054",2917805,202
203,"REGISTRO CIVIL COM FUNCOES NOTARIASI - DISTRITO DE BARREIRAS DE JACURUNA","012096",2917805,203
204,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DO 1º OFICIO SEDE","009761",2918001,204
205,"CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS COM FUNCOES NOTARIAIS DE MANOEL VITORINO","007088",2918001,205
206,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS - 2º OFICIO","006734",2918001,206
207,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS COM FUNCOES NOTARIAIS - DISTRITO DE BAIXAO","009704",2918001,207
208,"CARTÓRIO DO REGISTRO CIVIL DA PESSOAS NATURAIS","009068",2918100,208
209,"CARTÓRIO DE REGISTRO CIVIL COM FUNCAO NOTARIAL","006023",2918100,209
210,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012534",2918209,210
211,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006403",2918308,211
212,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009357",2918357,212
213,"REGISTRO CIVIL COM FUNCOES NOTARIAIS","011973",2918407,213
214,"CARTÓRIO DO REGISTRO CIVIL DO DISTRITO DE ABOBORA","009928",2918407,214
215,"CARTÓRIO DO REGISTRO CIVILDO DISTRITO DO JUNCO","010017",2918407,215
216,"REGISTRO CIVIL COM FUNCOES NOTARIAS","011353",2918902,216
217,"REGISTRO CIVIL DE PESSOAS NATURAIS","012815",2919157,217
218,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006601",2919207,218
219,"REGISTRO CIVIL COM FUNCAO NOTARIAL - DISTRITO DE TAUAPE","011866",2919405,219
220,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012336",2919405,220
221,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009308",2919504,221
222,"REGISTRO CIVIL COM FUNCOES NOTARIAS ¿ ITANAGE","140962",2919504,222
223,"MACAUBAS - CART. REG. CIVIL","011395",2919801,223
224,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006346",2919900,224
225,"REGISTRO CIVIL C/ FUNCOES NOTORIAIS","011767",2920502,225
226,"MARACAS - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE IBITIQUIRA","143719",2920502,226
227,"REGISTRO CIVIL C/~FUNCOES NOTORIAIS","011858",2920502,227
228,"REGISTRO CIVIL C/FUNCOES NOTARIAIS - SAO ROQUE DO PARAGUACU","135350",2920601,228
229,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS COM FUNCOES NOTARIAIS","006783",2920809,229
230,"REGISTRO CIVIL COM FUNCOES NOTARIAIS","012021",2921005,230
231,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009118",2921203,231
232,"REGISTRO CIVIL - ITAPURA","131763",2921203,232
233,"MUCURI - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE TAQUARINHA","143834",2922003,233
234,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS COM FUNCOES NOTARIAIS","006775",2922102,234
235,"MUNDO NOVO - CARTÓRIO DE REGISTRO CIVIL","143842",2922102,235
236,"REGISTRO CIVIL DAS PESSOAS NATURAIS COM FUNCOES NOTARIAIS","012633",2922201,236
237,"REG. CIVIL C/ FUNC. NOTARIAIS - ITAPORA","137430",2922300,237
238,"CARTÓRIO DO REGISTRO CIVIL DE PESSOAS NATURAIS","009886",2922409,238
239,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS","009340",2922508,239
240,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012427",2922607,240
241,"REG. CIVIL C/ FUNC NOTARIAIS - NOVA IBIA","133280",2922755,241
242,"CARTÓRIO DE REGISTRO CIVIL COM FUNCOES NOTARIAIS","006056",2923001,242
243,"REGISTRO CIVIL DAS PESSOAS NATURAIS COM FUNCOES NOTARIAIS - DISTRITO DE HELVECIA","006239",2923001,243
244,"CARTÓRIO REGISTRO CIVIL DAS PESSOAS NATURAIS COM FUNCAO NOTARIAIS","010884",2923209,244
245,"REGISTRO CIVIL DAS PESSOAS NATURAIS DO DISTRITO SEDE","012724",2923209,245
246,"REG. CIVIL C/ FUNC. NOTARIAIS - SEBASTIAO LARANJEIRA","137224",2923407,246
247,"PALMEIRAS/DISTRITO CAETE-ACU - REGISTRO CIVIL C/ FUNCOES NOTARIAIS","011569",2923506,247
248,"PALMEIRAS - REGISTRO CIVIL","011536",2923506,248
249,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS  NATURAIS DO DISTRITO SEDE - PARAMIRIM","009084",2923605,249
250,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006460",2923704,250
251,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006684",2924603,251
252,"REG. CIVIL C/ FUNC NOTARIAIS - LUCAIA","132217",2925006,252
253,"REGISTRO CIVIL DAS PESSOA NATURAIS","012153",2925501,253
254,"REG. CIVIL C/ FUNC. NOTARIAIS - TANCREDO NEVES","137497",2925758,254
255,"CARTÓRIO REG CIVIL DAS PESSOAS NATURAIS E REG DE INTERDICOES E TUTELAS","010686",2925808,255
256,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006569",2926103,256
257,"CARTÓRIO DO REGISTRO CIVIL COM FUNCOES NOTARIAIS","008797",2926202,257
258,"RIBEIRA DO POMBAL - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE BANZAE","144444",2926608,258
259,"REGISTRO CIVIL DAS PESSOAS NATURAIS","012203",2926707,259
260,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS","006700",2927002,260
261,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DE MADRE DE DEUS","009753",2927408,261
262,"CARTÓRIO DO REGISTRO CIVIL DO PACO","009951",2927408,262
263,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS DO DISTRITO DE COUTOS","136705",2913606,263
264,"REG. CIVIL C/ FUNCAO NOTARIAIS - PONTAL","136747",2913606,264
265,"ILHEUS/REGISTRO CIVIL-DISTRITO DE SAMBAITUBA","011205",2913606,265
266,"IRARA - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE PEDRAO","143602",2914505,266
267,"REG. CIVIL C/ FUNC NOTARIAIS - PATAIBA","135095",2914505,267
268,"REGISTRO CIVIL COM FUNCOES NOTARIAS ¿ BOA ESPERA","140889",2928307,268
269,"IRARA/DIST.BENTO SIMOES-REG CIVIL C/ FUN NOTARIAIS","011247",2914505,269
270,"REGISTRO CIVIL COM FUNCOES NOTARIAS ¿ SANTANAPOLIS","140897",2928307,270
271,"ITIRUCU - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE LAFAIETE COUTINHO","143628",2916906,271
272,"CARTÓRIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS - SEDE","009605",2917003,272
273,"REG. CIVIL C/ FUNC NOTARIAIS - RIO DO MEIO","135186",2917102,273
274,"REGISTRO CIVIL DAS PESSOAS NATURAIS","139980",2917102,274
275,"CARTÓRIO DO REGISTRO CIVI DAS PESSOAS NATURAIS","008516",2917201,275
276,"ITUACU - CARTÓRIO DE REGISTRO CIVIL - DISTRITO DE CONTENDAS DO SINCORA","143669",2917201,276
277,"REGISTRO CIVIL C/ FUNC NOTARIAIS DE CUNHANGI","010967",2917805,277
278,"CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS DO DISTRITO DE ITAJURU COM FUNCOES NOTARIAIS","007146",2918001,278
279,"CARTÓRIO DE REGISTRO CIVIL DE PESSOAS NATURAIS DO DISTRITO DE ORIENTE NOVO COMARCA DE JEQUIE-BA","007153",2918001,279
280,"CARTÓRIO DE RESGISTRO CIVIL COM FUNCOES NOTARIAIS","008243",2918001,280
281,"JUSSARA - REGISTRO CIVIL","011361",2918506,281
282,"CARTÓRIO DO REGISTRO CIVIL DO DISTRITO DO CAPAO","009944",2918803,282
283,"CARTÓRIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS.","006924",2918803,283
284,"CARTÓRIO DE REGISTRO DAS PESSOAS NATURAIS DE MALHADA-BAHIA","007344",2920205,284
285,"REGISTRO CIVIL DAS PESSOAS NATURAIS","131714",2921104,285
286,"REG. CIVIL C/ FUNCOES NOTARIAIS - TAQUARENDI","133629",2921401,286
